Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
Deaf to the City (orig. title: Le sourd dans la ville)	01 hours 37 minutes	Drama	September 1, 1987	Movies with No Deaf Actors | Leading Roles; Movies											A middle-aged woman is abandoned by her wealthy husband and moves into a cheap, dilapidated hotel where she develops relationships with the eternally optimistic owner and her deaf and terminally ill child.	https://deafmovie.org/title/le-sourd-dans-la-ville/
Deaf U		Reality-TV	October 9, 2020	x Reality Series; x Reality Series by Non-Deaf Director					American Sign Language	USA	50-100% Sign Language Usage	Netflix			Deaf U follows a group of students attending Gallaudet University, a private college catering to the deaf and hard of hearing. For DiMarco, the goal of the series is to show deaf people as humans, from all walks of life.	https://deafmovie.org/title/deaf-u/
Deaf, Dumb and Blonde	20 minutes	Musical	October 1, 1928	Shorts with No Deaf Actors | Leading Roles											N/A	https://deafmovie.org/title/deaf-dumb-and-blonde/
Deaf, Dumb and Daffy		Comedy; Short	November 30, 1924	Shorts with No Deaf Actors | Leading Roles						USA			x Free No Deaf Cast		N/A	https://deafmovie.org/title/deaf-dumb-and-daffy/
Deafula		Horror	March 1, 1975	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies	Peter Wolf; Bob L. Fower; Cindy Whitney; Dudley Hemstreet; James Randall; Katherine Wilson; Shelia Pope	Peter Wolf			American Sign Language	USA	50-100% Sign Language Usage			tt0123790	A theology student finds himself turning into a vampire and hunting other students for their blood.	https://deafmovie.org/title/tt0123790/
Dear Frankie		Drama; Romance	May 4, 2004	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					After having responded to her son’s numerous letters in the guise of his father, a woman hires a stranger to pose as his dad when meeting him.	https://deafmovie.org/title/dear-frankie/
DEF		Short	May 1, 2004	Shorts with Deaf Actors | Leading Roles; Shorts	David Ellington; Matthew Royce; Simon Dixon				British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage	BSLZone	Free Short		A young deaf guy living in a Yorkshire housing estate dreams of being a rapper.This is a short about a deaf kid and his imaginary rapper.	https://deafmovie.org/title/def/
Def Dance Jam		Short	February 3, 2009	Shorts											Deaf and hearing girls and women dance side by side in this short documentary about a unique program in Harlem that breaks barriers between the conventionally-abled and differently-abled communities.	https://deafmovie.org/title/def-dance-jam/
Deliverance		Drama; Biography	August 18, 1919	x Silent Movies; x Silent Movies with No Deaf Actors | Leading Roles					English	USA			x Free No Deaf Cast	tt0010061	The true story of Helen Keller, who lost her vision and hearing at the age of two, was considered a hopeless case, but who through the diligent aid of teacher Anne Sullivan became a	https://deafmovie.org/title/deliverance/
Departure Lounge	27 minutes	Drama	October 12, 2009	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts	David Sands	Louis Neethling	Charlie Swinbourne		British Sign Language	United Kingdom	50-100% Sign Language Usage	BSLZone	Free Short		An obnoxious young deaf hospital cleaner is given some self-realization when he bonds with an elderly terminally ill patient, also deaf.	https://deafmovie.org/title/departure-lounge/
Desperate Housewives		Comedy; Drama; Romance; Mystery	September 1, 2004												The “normal” suburban life for a group of close-knit housewives takes a dark turn when one of their closest friends mysteriously commits suicide. Now while trying to deal with their own hectic problems and romantic lives, each year brings on a new mystery and more dark and twisted events to come. Life behind closed doors is about to be revealed as suburban life takes a funny and dark turn.	https://deafmovie.org/title/desperate-housewives/
Después	17 minutes	Short	March 17, 2014	Shorts with Deaf Actors | Leading Roles; Shorts	Christian Larocca				Spanish	Argentina	x Spoken Without Sign Language		Free Short		Three brothers and one village. Three ages. Three realities. A car without gasoline. A name written in a peace of paper. The fields silence turns them into strangers to one another.	https://deafmovie.org/title/despues/
Diagnonsense	27 minutes		August 12, 2022	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors	Ilan Dwek				British Sign Language	United Kingdom		BSLZone	Free Short		Set in 1996 at a psychiatric hospital, a Social Worker, Louise, meets Patrick, a Deaf patient who has been kept in the hospital for 36 years. He was wrongly diagnosed as schizophrenic. Louise has to fight discriminatory attitudes to get an institutionalised Patrick to appeal against his diagnosis and Patrick has to recall painful memories of events that led to his incarceration. Written, directed and edited by Samuel Dore; a Mutt & Jeff Pictures production for BSLBT.	https://deafmovie.org/title/diagnonsense/
Dietro il mondo	45 minutes	Drama	May 8, 2004	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts	Humberto Insolera; Claudio Ferrara; Michele Castiglione; Gianpaolo Catone; Stefania Lerose; Nunziata Trazzera	Daniele LeRose			Italian Sign Language	Italy	50-100% Sign Language Usage				Black Summer	https://deafmovie.org/title/dietro-il-mondo/
Dietro il mondo 2	45 minutes		September 4, 2005	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts		Daniele LeRose			Italian Sign Language; Italian	Italy; EUR	50-100% Sign Language Usage	UNITEERAWED			Black Summer	https://deafmovie.org/title/dietro-il-mondo-2/
Dimensions		Animation; Short	April 8, 2022	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers	Rosa Lee Timm	Melissa Malzkuhn; MJ Kiego	Melissa Malzkuhn; MJ Kiego		American Sign Language	USA	50-100% Sign Language Usage				N/A	https://deafmovie.org/title/dimensions/
Dis?ABLE	10 minutes		December 2, 2001		Ilan Dwek; David Ellington; Bora Tukenmez; Sarah Beauvoisin; Umesh Valjee; Davina Davies; Paula Garfield; Jason Taylor; Claire Davies	Louis Neethling			British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage				One morning, a deaf person wakes up and can hear.	https://deafmovie.org/title/disable/
Dokjeon (en. Believer)		Action; Thriller; Crime	May 24, 2018	Movies with Deaf Actors | Supporting Roles; Movies					Korean Sign Language; Korean	Korea					A police detective determined to catch the unseen boss of Asia’s biggest drug cartel joins hands with a revenge-thirsty member of the gang.	https://deafmovie.org/title/dokjeon/
Doppelgänger		Short	February 8, 2002	Shorts with Deaf Actors | Leading Roles; Shorts		Rene Visco			American Sign Language	USA			Free Short		https://www.youtube.com/watch?v=LJC6CvyDzSI	https://deafmovie.org/title/doppelganger/
Dove siete? Io sono qui		Drama; Romance	September 22, 1993	Movies with Deaf Actors | Supporting Roles; Movies with No Deaf Actors | Leading Roles; Movies					Italian Sign Language; Italian	Italy	10-25% Sign Language Usage				Fausto’s mother refuses to accept the fact that her child is deaf, and refuse to send him to a special school where he can learn sign language. His aunt, though, teaches him to communicate, and helps him find a place among a group of deaf-mutes. He meets and falls in love with Elena, leaving the “official” girlfriend picked by his mother, and the two plan to go to Washington to study at a special university for the deaf. The mother accuses Elena of being selfish, Elena is hit by a car and hospitalized, and Fausto ends up being shocked into hearing for the first time what is going on around him.	https://deafmovie.org/title/dove-siete-io-sono-qui/
Downsizing	17 minutes	Drama; Sci-fi	October 30, 2017	Movies with Deaf Actors | Supporting Roles; Movies	Jorge Tello; Cicela Bravatti				American Sign Language; English	USA	0–1% Sign Language Usage				“Downsizing” follows a kindly occupational therapist who undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.	https://deafmovie.org/title/downsizing/
Drie Gasten en een Videocamera			February 10, 2015	Shorts with No Deaf Actors | Supporting Roles						Netherlands; EUR					A gangster commits a cold-blooded assassination with no reason in ‘Gangster Killer’. ‘Triple Hooked’ tells the story of three corrupt policemen who are getting slashed by a revengeful suspect from their past. When a discharged employee takes his boss hostage during ‘Going Crazy’, this results in a cat-and-mouse play with the authorities. Afterwards, a young babysitter is being haunted by a ghost spirit in the shape of a clown in ‘Babysit’. And last but not least, the comic duo Sjakie and Henkie are being fooled twice in an attempt to rob a bright businessman or a deaf burglar in the double act ‘Klappen Koppen/Doof’.	https://deafmovie.org/title/drie-gasten-en-een-videocamera/
Drive My Car	02 hours 59 minutes	Drama	August 20, 2021	Movies with No Deaf Actors | Supporting Roles; Movies					Japanese Sign Language; Japanese	Japan	0–1% Sign Language Usage				Two years after his wife’s unexpected death, Yusuke Kafuku (Hidetoshi Nishijima), a renowned stage actor and director, receives an offer to direct a production of Uncle Vanya at a theater festival in Hiroshima. There, he meets Misaki Watari (Toko Miura), a taciturn young woman assigned by the festival to chauffeur him in his beloved red Saab 900. As the production’s premiere approaches, tensions mount amongst the cast and crew, not least between Yusuke and Koshi Takatsuki, a handsome TV star who shares an unwelcome connection to Yusuke’s late wife. Forced to confront painful truths raised from his past, Yusuke begins – with the help of his driver – to face the haunting mysteries his wife left behind.	https://deafmovie.org/title/drive-my-car/
Driver	21 minutes		June 1, 2018	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Antonio Cannata			Italian Sign Language	Italy; EUR	50-100% Sign Language Usage				Tom is a young street racer who is very fast and has won a lot. He is richly rewarded by the boss and gets to replace Jonny, their former driver, who was unbeatable but ended up in prison because someone betrayed him. Will Tom stand up to Jonny when he gets out of prison?	https://deafmovie.org/title/driver/
Dummy	01 hours 39 minutes		May 27, 1979	Movies with No Deaf Actors | Leading Roles; Movies					American Sign Language; English	USA				tt0079088	A deaf and dumb young man is accused of murdering a prostitute and defended by a deaf lawyer.	https://deafmovie.org/title/tt0079088/
Dummy	01 hours 15 minutes		November 9, 1977	Movies with No Deaf Actors | Leading Roles; Movies					English	United Kingdom; EUR	x Mute (No Language)				Sandra is a deaf mute girl whose life descends into prostitution and degradation on the streets of Bradford.	https://deafmovie.org/title/dummy-2/
Dummy Jim	1 minutes	Adventure; Animation; Biography; Documentary	January 28, 2013	x Documentaries; x Documentaries by Non-Deaf Directors					English	USA			Free Documentary		Watch Full Documentary [Free]	https://deafmovie.org/title/dummy-jim/
El corazón de la noche		Drama; Horror; Romance; Thriller; Crime; Mystery	March 15, 1984	Movies with No Deaf Actors | Leading Roles; Movies					Spanish	Mexico					A young deaf-mutewoman who lives and has intercourse with a blind man many years her senior inevitably attracts a shy driving instructor into her strange, hallucinatory underworld populated by those beings whose mutilation and impaired physical differences have caused society to reject them.	https://deafmovie.org/title/el-corazon-de-la-noche/
El techo del mundo (Le toit du monde)	01 hours 25 minutes	Drama	December 28, 1995	Movies with Deaf Actors | Leading Roles; Movies	Emmanuelle Laborit				Spanish; French; EUR	France; Spain; EUR; Switzerland				tt0114642	A spanish worker obtains the Swiss nationality after twenty years living in Switzerland. He works in his own company and helps the inmigrants with problems. But after a laboral accident he comes back to Spain and changes radically his attitude.	https://deafmovie.org/title/el-techo-del-mundo/
Electric Shadows	01 hours 33 minutes	Drama	September 11, 2004	Movies with No Deaf Actors | Leading Roles; Movies					Mandarin	China	x Mute (No Language)			tt0424273	For no apparent reason, a mute young woman assaults a youth who delivers water on his bicycle, injuring him and ruining his bike. Surprisingly, she asks him to feed her fish while she is in custody. Her tiny apartment, he discovers, is a shrine to his favorite escape, the movies. He finds her diary – a screenplay of her life built around scenes from favorite films – and it sets off his imagination. Maybe they have more in common than a love of the movies.	https://deafmovie.org/title/tt0424273/
Elevated	15 minutes		May 30, 2022	x Documentaries	Sonya Wilson				American Sign Language						Deaf climber Sonya Wilson overcame discrimination, isolation, and seemingly insurmountable obstacles as a child to become the woman she is today—a force of nature changing the face of the climbing world. Knowing communication is key to her sport, she has created ways for deaf climbers in her community to find each other and spend time together in the outdoors, leaving ableism and expectations behind.	https://deafmovie.org/title/elevated/
Eleven Eleven		Comedy; Drama; Romance; Short	January 25, 2011	Shorts by Deaf Directors; Shorts		Austin Chapman				USA			Free Short		This is a story about love.	https://deafmovie.org/title/eleven-eleven/
Entre Sinais e Marés (Between Signs and Tides)			June 12, 2025	Shorts with Deaf Actors | Leading Roles; Shorts	Leo Castilho				Brazilian Sign Language	Brazil					A story about love that endures, about meaningful encounters, and about memory—pulsing with the kind of remembrance that only true feelings can preserve.	https://deafmovie.org/title/entre-sinais-e-mares-between-signs-and-tides/
Entrevista Com o Surdo Gay	1 minutes	Documentary; N/A	June 1, 2004	x Documentaries by Deaf Directors; x Documentaries		Celso Badin			Brazilian Sign Language	Brazil			Free Documentary		Lino, a reporter, interviews Arlindo, who is a gay and deaf man. In the interview, he tells (always using the sign language) about the community of gay deaf people living in São Paulo, and recounts some stories about himself and his friends with the same problem: Diego, who ends up mixing himself up with drugs, as a result of the social rejection he experiences; Thales, a lonely man who only came out of the closet after meeting some other deaf gay friends; Marcello, who hates condoms and thinks he’s immune to Aids and VD; and Erick, with serious relationship problems with his family.	https://deafmovie.org/title/entrevista-com-o-surdo-gay/
Escape Room		Action; Adventure; Horror	January 3, 2019	Movies with No Deaf Actors | Supporting Roles					English	USA					Six strangers are given mysterious black boxes with tickets to an immersive escape room for a chance to win tons of money. Being locked in several rooms with extreme conditions, they discover the secrets behind the escape room and must fight to survive and to find a way out.	https://deafmovie.org/title/escape-room/
Escuela de Sordos	01 hours 12 minutes		November 12, 2013	x Documentaries; x Documentaries by Non-Deaf Directors					Argentine Sign Language; Spanish	Argentina	50-100% Sign Language Usage			tt3340184	An accurate and emotional record of the work and the delivery of a teacher of a school for deaf children, which invites reflection.	https://deafmovie.org/title/tt3340184/
Eternals		Action; Adventure; Drama; Sci-fi; Fantasy	November 5, 2021	Movies with Deaf Actors | Leading Roles; Movies	Lauren Ridloff					USA	1-10% Sign Language Usage				The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.	https://deafmovie.org/title/eternals/
Etude	6 minutes	Drama; Short	September 27, 2007	Shorts with No Deaf Actors | Leading Roles; Shorts					American Sign Language; English	USA					A concert cellist prepares to play in public for the first time in years. She’s extremely talented, emotionally fragile – and completely deaf.	https://deafmovie.org/title/etude/
Excision		Comedy; Drama; Horror	January 21, 2012												This film is about Pauline, a young woman (18yo) who lives with her family and her younger sister Grace who has Cystic Fibrosis. Pauline has some delusions of being a great surgeon, and she also has some horrific dreams that she actually finds “stimulating” to say the least. Her family put up with her delusions and her school classmates find her annoying. But as this is all happening around her she has a plan, a plan that will leave them all shocked, and some people may not survive.	https://deafmovie.org/title/excision/
Exit the Sun	11 minutes	Sci-fi; Short	November 18, 2011	Shorts; Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers	Daniel Pfaff; Dexter Jones	Chase Burton			American Sign Language	USA			Free Short		Two unlikely characters cross paths in a place neither here or there.	https://deafmovie.org/title/exit-the-sun/
Exponát roku 1827	01 hours 27 minutes		October 14, 2008	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies		Miroslav Gavelčík			Czech Sign Language	Czech Republic	50-100% Sign Language Usage				A tourist happens to catch two mobsters passing a mysterious briefcase at a Ukrainian train station.	https://deafmovie.org/title/exponat-roku-1827/
Fairytale of London Town		Drama	December 20, 2010	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Louis Neethling			British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage	BSLZone	Free Short	tt1757747	A bittersweet modern day fairytale where three deaf women, Veronica, Karen and Sally, face three very different Christmases until an unexpected event throws them together. Veronica is just out of prison, Sallys sons have left home and Karen has to work through Christmas; what could they possibly have in common? When Veronica thinks she has killed her bullying mother on Christmas Eve she runs to Karen for help. When Sally decides to leave her husband on Christmas Eve she turns to Karen for help. However, dependable Karen is at breaking point; forced to work through Christmas to pay off her husbands debts and help keep the bailiffs at bay. It is the coming together of these old school friends that ignites a yearning for something more. Their former hopes and dreams are remembered and a wish to change their lives for the better. They realise that being with each other means that theyre not on their own and that they will always have a lifelong family together.	https://deafmovie.org/title/fairytale-of-london-town/
Father Tongue	19 minutes	Drama; Short	October 10, 2022						Hebrew	Israel					A non-functional relationship between a deaf child and his hard-working father, who struggles to accept his son’s deafness.	https://deafmovie.org/title/father-tongue/
Feel My Voice	01 hours 35 minutes	Comedy; Drama	April 3, 2026		Emilio Insolera; Carola Insolera; Antonio Iorillo; Fulvio Fugalli				Italian Sign Language; Italian	Italy; EUR	50-100% Sign Language Usage	Netflix		tt38589464	A teenager, the only hearing member of a deaf family, finds her voice and learns to believe in herself through her passion for singing.	https://deafmovie.org/title/feel-my-voice/
Feeling Through	18 minutes	Drama; Short	January 20, 2021	Shorts with Deaf Actors | Leading Roles; Shorts	Robert Tarango				American Sign Language; English	USA			Free Short	tt9280166	While wandering the neon-lit streets of New York City, desperate to find shelter, Tereek, an unhoused teenager living on the margins of society, comes across Artie, a deafblind man trying to get home. Reluctantly, Tereek decides to lend a hand, only to find himself bonding with his unlikely new friend. And, little by little, as the perfect strangers embark on a silent, night-long journey in the heart of the city, a life-altering transformation begins to take place. Is love the essence and purpose of being human?	https://deafmovie.org/title/feeling-through/
Femmes Sourdes, dites-moi	56 minutes	Documentary	May 21, 2015	x Documentaries by Deaf Directors; x Documentaries		Marie-Andrée Boivin			French; Quebec Sign Language	Canada	50-100% Sign Language Usage				A documentary film that chronicles the lives of deaf women who attended Quebec’s first school for deaf women, the Institute of Deaf Women, managed by the Sisters of Providence	https://deafmovie.org/title/femmes-sourdes-dites-moi/
Final Year (orig. title: Último año)	01 hours 07 minutes		January 13, 2017	x Documentaries; x Documentaries by Non-Deaf Directors					Spanish; Chilean Sign Language	Chile					Five friends have stayed together throughout the years in a school for the deaf. Now they are in their last year together. They will soon be forced to leave safety and enter schools for the hearing. The film tells about how the deaf are made invisible and discriminated against in a very unfair school system.	https://deafmovie.org/title/final-year-orig-title-ultimo-ano/
Fingers on the Line		Short	February 1, 2018	x Documentaries by Deaf Directors; x Documentaries					American Sign Language	Canada			Free Documentary		L.Grenier, V.Leduc & Pamela E. Witcher, CANADA, 10′	https://deafmovie.org/title/fingers-on-the-line/
Floating Sauna		Documentary	June 7, 2018	x Docuseries by Deaf Directors; x Docuseries		Erik Akervall			International Sign	Sweden; EUR	50-100% Sign Language Usage		Free Docuseries		Watch Full Movie [Free]   Free	https://deafmovie.org/title/floating-sauna/
Flying By	01 hours 30 minutes	Drama; Family; Music	April 18, 2009	Movies with No Deaf Actors | Leading Roles											This musically driven drama follows a successful Real Estate developer who puts his marriage and business on the line when given the opportunity to follow his ultimate, life-long dream: music.	https://deafmovie.org/title/flying-by/
Follow That Bird		Adventure; Comedy; Family	August 2, 1985	Movies with Deaf Actors | Supporting Roles; Movies	Linda Bove				American Sign Language; English	USA					Eccentric and lovable Big Bird lives a very carefree life with his friends on Sesame Street. But his happiness is cut short when a strict social worker named Miss Finch sends him away to live with a wacky family of Dodos. After a long week and feeling homesick, he decides that he has had enough and sets out to get back to Sesame Street. Word gets around and he is totally unaware that his friends are in search of him. But he better watch out because both Miss Finch and the Sleaze Brothers are also after him for their own purposes.	https://deafmovie.org/title/follow-that-bird/
Forget Me Not		Drama	September 1, 2006	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies			Mark Wood		American Sign Language	USA					Black Summer	https://deafmovie.org/title/forget-me-not/
Forgiven	13 minutes		May 30, 2019	Shorts with Deaf Actors | Leading Roles; Shorts					American Sign Language	USA	50-100% Sign Language Usage		Free Short		SignLight FIlms	https://deafmovie.org/title/forgiven/
Found in Love	28 minutes	Short	January 1, 1970	x Documentaries by Deaf Directors; x Documentaries		Charlie Swinbourne									Watch Full Documentary [Free]https://www.bslzone.co.uk/watch/found-love	https://deafmovie.org/title/found-in-love/
Four Weddings and a Funeral		Comedy; Drama; Romance	January 20, 1994	Movies											Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.	https://deafmovie.org/title/four-weddings-and-a-funeral-2/
From Silence to Sound	48 minutes	Documentary	April 20, 2007	x Documentaries; x Documentaries by Non-Deaf Directors						USA					In the United States, more than 20 million people are either deaf or hard-of-hearing. Justin Garrett is among them. At age 27, he takes a chance on a risky surgery in hopes of hearing for the first time in his life.	https://deafmovie.org/title/from-silence-to-sound/
Gallaudet: The Film		Short	April 1, 2010	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts					American Sign Language	USA	50-100% Sign Language Usage		Free Short	tt1781818	N/A	https://deafmovie.org/title/gallaudet-the-film/
Gamanam	01 hours 54 minutes	Drama	December 10, 2021	Movies					Telugu	India				tt13110808	The destiny of four compelling lives collide in a city. Innocence, regret, ambition and sacrifice, all of it being catapulted into unforeseen situations. An aspiring cricketer is expected to get a job. Kamala, a deaf mother, dreams of implanting a hearing aid. Two orphaned kids living their best lives on the street, get lured towards the glittery life. It’s a weave of stories of these individuals.	https://deafmovie.org/title/gamanam/
Gerald			May 1, 2010	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies	Russell Harvard	Mark Wood	Mark Wood		American Sign Language	USA	50-100% Sign Language Usage				This film is a journey of a young man, Corey, yearning for kinship until one day discovers he has a Deaf autistic grandfather he has never knew, Corey was determined to make connection regardless. The family ties and secrets unbeknownst to the young man have surfaced, and all the events suddenly unfold. A powerful, emotional and continuous twist of events that leads to shocking truth.	https://deafmovie.org/title/gerald/
Gestures: A film in Sign Language		Documentary	March 2, 1989	x Documentaries; x Documentaries by Non-Deaf Directors											Black Summer	https://deafmovie.org/title/gestures-a-film-in-sign-language/
Glee!		Family; Fantasy; Short; Musical	May 3, 2009	Shorts by Deaf Directors; Shorts		Jules Dameron				USA	x Spoken Without Sign Language		Free Short		With a mother for a mortician, 8-year-old Lady Grey has never experienced a smile since birth. When she wishes upon a shooting star, happiness comes in the form of her worst fear: an Italian singing clown. Who knew?	https://deafmovie.org/title/glee/
Glove (orig. title: 글러브;  Geulreobeu)	02 hours 24 minutes	Drama; Sport	January 5, 2011	Movies with No Deaf Actors | Leading Roles; Movies					Korean	South Korea					“G-Love” centers around a has-been professioanl baseball player (Jung Jae-Young), a female school teacher (played by Yu-seon), and a group of deaf high school baseball players. Friendship & love are explored in the film, set within a countryside backdrop.	https://deafmovie.org/title/glove/
Godzilla vs. Kong		Action; Sci-fi; Thriller	May 31, 2021		Kayle Hottle						1-10% Sign Language Usage				Legends collide as Godzilla and Kong, the two most powerful forces of nature, clash on the big screen in a spectacular battle for the ages. As a squadron embarks on a perilous mission into fantastic uncharted terrain, unearthing clues to the Titans’ very origins and mankind’s survival, a conspiracy threatens to wipe the creatures, both good and bad, from the face of the earth forever.	https://deafmovie.org/title/godzilla-vs-kong/
Godzilla x Kong: The New Empire	01 hours 55 minutes	Action; Adventure; Fantasy	March 29, 2024	Movies with Deaf Actors | Leading Roles; Movies	Kayle Hottle				American Sign Language; English	USA	10-25% Sign Language Usage	Warner Bros			Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island’s mysteries.	https://deafmovie.org/title/godzilla-x-kong-the-new-empire-2/
Good Game	8 minutes	Short	August 15, 2017	Shorts; Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers	Jason Dobson; Marlon Jacobi; Pamela Wright	Ryan Commerson	Ryan Commerson		American Sign Language	USA	50-100% Sign Language Usage		Free Short		Based on a true story, this film tells the tale of two Deaf fellas in Boulder, Colorado. One night, as they play foosball, something remarkable happens. They encounter two opponents who openly mocks them, mimicking their signs. The Deaf players decide to challenge the opponents: whoever loses buys the other drinks.	https://deafmovie.org/title/good-game/
Good Old Daze (orig. title: Le péril jeune)	01 hours 41 minutes	Comedy; Drama	May 21, 1994												Ten years after their Upper Sixth, Bruno, Momo, Leon and Alain meet together in the waiting room of a maternity hospital. The father of the awaited baby is Tomasi, their best friend at that time, who died one month before due to an overdose. They remember their teenage, their laughs, their dreams, their stupid pranks.	https://deafmovie.org/title/le-peril-jeune/
Goya in Bordeaux	01 hours 35 minutes		June 4, 1999	Movies with No Deaf Actors | Leading Roles					Spanish	Spain	x Spoken Without Sign Language				Francisco Goya (1746-1828), deaf and ill, lives the last years of his life in voluntary exile in Bordeaux, a Liberal protesting the oppressive rule of Ferdinand VII. He’s living with his much younger wife Leocadia and their daughter Rosario. He continues to paint at night, and in flashbacks stirred by conversations with his daughter, by awful headaches, and by the befuddlement of age, he relives key times in his life, particularly his relationship with the Duchess of Alba, his discovery of how he wanted to paint (insight provided by Velázquez’s work), and his lifelong celebration of the imagination. Throughout, his reveries become tableaux of his paintings.	https://deafmovie.org/title/goya-in-bordeaux/
Great Genius and Profound Stupidity		Documentary	April 24, 2008	x Documentaries; x Documentaries by Non-Deaf Directors									Free Documentary		This experimental documentary, which includes interviews with Avital Ronnell, Oliver Sacks, and Merce Cunningham, explores pilgrim mathematician Paul Erdos, Hellen Keller, and the philosophical ideas ofgeniusandstupidity.	https://deafmovie.org/title/great-genius-and-profound-stupidity/
Great Guns	20 minutes	Comedy; Short	June 15, 1927	Shorts with Deaf Actors | Leading Roles; Shorts	Tommy Albert (Emerson Romero)					USA	x Mime				N/A	https://deafmovie.org/title/great-guns/
Ha Toccato	13 minutes	Drama	October 10, 2024		Chiara Conte; Lorenzo Laudo				Italian Sign Language; Italian	Italy; EUR					The short film follows Giusi on a journey to transfer her father’s remains from a cemetery in Rome to one in Cammarata, Sicily, to reunite him with her mother. This physical journey becomes an emotional one as well, taking her back through the places and memories of her childhood, when sign language was the only way she could connect with the world.	https://deafmovie.org/title/ha-toccato/
Habana muda	01 hours 01 minutes	Documentary	March 5, 2011	x Documentaries; x Documentaries by Non-Deaf Directors					Spanish	France; Cuba; EUR					Documentary Director E. Brach spent 3 years in Havana filming Chino, a deaf-mute who works on a farm. Together Chino and his deaf-mute friends and wife go over the pros and cons of him fleeing Cuba to join Jose, a gay Mexican who has fallen in love with him and is ready to help him leave the country and obtain papers to work in Mexico. But Jose wonders if Chino’s loves him or if he just wants to earn himself a better life and send money back to his needy wife and young children. As the months go by we get to know each of the protagonists more intimately and discover the doubts and bouts of hope each of them entertains with this singular situation.	https://deafmovie.org/title/habana-muda/
Halifax Explosion: The Deaf Experience		Documentary	May 26, 2017	x Documentaries											On December 6, 1917, 2 ships colliding in Halifax Harbour led to one of largest explosions ever. The Halifax School for the Deaf was near, yet, all survived. How? Amazing stories of community and survival are shared in ASL and MSL.	https://deafmovie.org/title/halifax-explosion-the-deaf-experience/
Hands Solo		Comedy; Romance; Biography; Short	April 4, 2009	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts		William Mager	Charlie Swinbourne		British Sign Language	United Kingdom	50-100% Sign Language Usage	BSLZone	Free Short		What if a deaf man became an internationally famous Porn Star? This is a comedic mockumentary about someone who does just that – all because he’s very, very good with his hands.	https://deafmovie.org/title/hands-solo/
Happiness of us alone (orig. title: 名もなく貧しく美しく)	02 hours 10 minutes		January 15, 1961	Movies with No Deaf Actors | Leading Roles; Movies					Japanese Sign Language; Japanese	Japan	25-50% Sign Language Usage			tt0055217	A sympathetic portrayal of the suffering of a deaf couple at the hands of a shell shocked postwar society that treats them like wayward children to be at turns pitied or exploited.	https://deafmovie.org/title/tt0055217/
Hard Man	01 hours 20 minutes		December 1, 2012	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies by Deaf Writers; Movies	Travis Guettler; Patti Fry Hill; Jim Lomanto	Mark Wood	Mark Wood		American Sign Language	USA	50-100% Sign Language Usage			tt11147552	A Texan ravaged by alcoholism encounters some of his biggest struggles when his estranged daughter decides to place him in a nursing home. Distraught at his daughter’s decision, he becomes angrily determined to die at the ranch rather than the nursing home. He is then forced to work with a considerate caretaker, encountering Texas-sized drama along the way. This film confronts the issues often found within dysfunctional families, and leaves viewers with a thought-provoking experience.	https://deafmovie.org/title/hard-man/
